,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Defense,Pull,,,KPS,6.501,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,1.0
1,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Defense,D,,,Meshnick,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,1.0
2,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Catch,Vic Luo,Meshnick,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
3,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Catch,Meshnick,KPS,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
4,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Catch,KPS,Coolidge,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
5,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Catch,Coolidge,Knoche,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
6,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Catch,Knoche,Vic Luo,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
7,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Catch,Vic Luo,Knoche,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
8,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Catch,Knoche,KPS,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
9,2019-04-14 17:19,Indianapolis AlleyCats,64,D,1,0,Offense,Goal,KPS,Meshnick,,,Vic Luo,Pruess,Knoche,Marty,Meshnick,Coolidge,KPS,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,Madison Radicals,2019,"Coolidge, KPS, Knoche, Marty, Meshnick, Pruess, Vic Luo",1,1,1,2.0
10,2019-04-14 17:19,Indianapolis AlleyCats,31,D,1,1,Defense,Pull,,,KPS,5.8,Robinson,JDub,Grandon,Knoche,Vock,M Kobyra,KPS,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Madison Radicals,2019,"Grandon, JDub, KPS, Knoche, M Kobyra, Robinson, Vock",1,1,2,1.0
11,2019-04-14 17:19,Indianapolis AlleyCats,31,D,1,1,Defense,Goal,,,Anonymous,,Robinson,JDub,Grandon,Knoche,Vock,M Kobyra,KPS,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,Madison Radicals,2019,"Grandon, JDub, KPS, Knoche, M Kobyra, Robinson, Vock",1,1,2,1.0
12,2019-04-14 17:19,Indianapolis AlleyCats,92,O,2,1,Offense,Catch,Shriwise,K Brown,,,Shriwise,Johnson,K Brown,Wilen,Wiseman,Bosscher,Camp,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,Madison Radicals,2019,"Bosscher, Camp, Johnson, K Brown, Shriwise, Wilen, Wiseman",1,1,3,1.0
13,2019-04-14 17:19,Indianapolis AlleyCats,92,O,2,1,Offense,Catch,K Brown,Shriwise,,,Shriwise,Johnson,K Brown,Wilen,Wiseman,Bosscher,Camp,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,Madison Radicals,2019,"Bosscher, Camp, Johnson, K Brown, Shriwise, Wilen, Wiseman",1,1,3,1.0
14,2019-04-14 17:19,Indianapolis AlleyCats,92,O,2,1,Offense,Catch,Shriwise,Wiseman,,,Shriwise,Johnson,K Brown,Wilen,Wiseman,Bosscher,Camp,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,Madison Radicals,2019,"Bosscher, Camp, Johnson, K Brown, Shriwise, Wilen, Wiseman",1,1,3,1.0
