,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Defense,Pull,,,DEmmons,4.094,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,1.0
1,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Defense,Throwaway,,,Anonymous,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,1.0
2,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Catch,SPoulos,GMiller,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
3,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Catch,GMiller,MArmour,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
4,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Catch,MArmour,DEmmons,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
5,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Catch,DEmmons,KMaurer,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
6,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Catch,KMaurer,COlson,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
7,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Catch,COlson,MArmour,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
8,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Catch,MArmour,COlson,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
9,2019-04-05 19:22,Raleigh Flyers,158,D,1,0,Offense,Drop,COlson,DEmmons,,,COlson,SPoulos,GMiller,MArmour,DEmmons,KMaurer,NChamber,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,Dallas Roughnecks,2019,"COlson, DEmmons, GMiller, KMaurer, MArmour, NChamber, SPoulos",1,1,1,2.0
