,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,Pull,,,Garrett Santi,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,0,Endzone A,0.879,0.119,Endzone B,0.346,0.479,yds,91.4,19.2,89.3,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
1,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,4,Endzone B,0.364,0.462,Field,0.970,0.371,yds,10.9,4.8,-9.7,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
2,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,8,Field,0.970,0.371,Field,0.724,0.180,yds,22.2,10.2,-19.7,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
3,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,12,Field,0.724,0.180,Field,0.799,0.350,yds,10.9,9.1,6.0,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
4,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,16,Field,0.799,0.350,Field,0.746,0.580,yds,13.0,12.3,-4.2,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
5,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,20,Field,0.746,0.580,Field,0.654,0.800,yds,13.9,11.7,-7.4,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
6,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,24,Field,0.654,0.800,Field,0.745,0.533,yds,16.0,14.2,7.3,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
7,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,28,Field,0.745,0.533,Field,0.707,0.261,yds,14.8,14.5,-3.0,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
8,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,32,Field,0.707,0.261,Field,0.541,0.192,yds,13.8,3.7,-13.3,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
9,2019-04-06 18:50,San Diego Growlers,49,D,0,1,Defense,OpponentCatch,,,Anonymous,,Kyle Conniff,Aaron Weaver,Joc Jimenez,Sam Plasman,Jeff Silverman,Garrett Santi,Collin Gall,,,,,,,,,,,,,,,,,,,,,,36,Field,0.541,0.192,Field,0.662,0.293,yds,11.0,5.4,9.6,Los Angeles Aviators,2019,"Aaron Weaver, Collin Gall, Garrett Santi, Jeff Silverman, Joc Jimenez, Kyle Conniff, Sam Plasman",1,1,1,1.0
