,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,Pull,,,Ceballos,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,0,Endzone B,0.031,0.332,Endzone A,0.945,0.630,yds,83.3,15.9,81.7,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
1,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,5,Endzone A,0.983,0.676,Field,0.070,0.711,yds,6.2,1.8,-5.9,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
2,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,9,Field,0.070,0.711,Field,0.162,0.567,yds,10.6,7.7,-7.4,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
3,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,13,Field,0.162,0.567,Field,0.248,0.610,yds,7.3,2.3,-6.9,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
4,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,17,Field,0.248,0.610,Field,0.196,0.345,yds,14.7,14.1,4.2,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
5,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,21,Field,0.196,0.345,Field,0.395,0.136,yds,19.4,11.2,-15.9,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
6,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,25,Field,0.395,0.136,Field,0.601,0.176,yds,16.6,2.2,-16.5,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
7,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,OpponentCatch,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,29,Field,0.601,0.176,Field,0.749,0.164,yds,11.8,0.6,-11.8,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
8,2019-04-28 14:06,New York Empire,38,D,0,1,Defense,Goal,,,Anonymous,,Malik,Brissett,Monfette,Joncas,Limoges,Ceballos,Massi,,,,,,,,,,,,,,,,,,,,,,36,Field,0.749,0.164,Endzone B,0.424,0.045,yds,29.3,6.3,-28.6,Montreal Royal,2019,"Brissett, Ceballos, Joncas, Limoges, Malik, Massi, Monfette",1,1,1,1.0
9,2019-04-28 14:06,New York Empire,70,O,0,2,Offense,OpponentPull,Anonymous,Anonymous,,,Steve,Charette,Lemieux,Goderre,Quinlan,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,89,Endzone B,0.131,0.231,Endzone A,0.845,0.611,yds,88.1,20.3,-85.7,Montreal Royal,2019,"Andre, Charette, Goderre, Groulx, Lemieux, Quinlan, Steve",1,1,2,1.0
10,2019-04-28 14:06,New York Empire,70,O,0,2,Offense,Catch,Goderre,Steve,,,Steve,Charette,Lemieux,Goderre,Quinlan,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,98,Endzone A,0.897,0.631,Field,0.072,0.481,yds,11.2,8.0,7.8,Montreal Royal,2019,"Andre, Charette, Goderre, Groulx, Lemieux, Quinlan, Steve",1,1,2,1.0
