,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Klane J,Burden C,,,Halber T,Jordan M,Klane J,Snider Q,Green J,Vohn B,Burden C,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Minnesota Wind Chill,2019,"Burden C, Green J, Halber T, Jordan M, Klane J, Snider Q, Vohn B",1,1,1,1.0
1,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Burden C,Klane J,,,Halber T,Jordan M,Klane J,Snider Q,Green J,Vohn B,Burden C,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Minnesota Wind Chill,2019,"Burden C, Green J, Halber T, Jordan M, Klane J, Snider Q, Vohn B",1,1,1,1.0
2,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Klane J,Vohn B,,,Halber T,Jordan M,Klane J,Snider Q,Green J,Vohn B,Burden C,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Minnesota Wind Chill,2019,"Burden C, Green J, Halber T, Jordan M, Klane J, Snider Q, Vohn B",1,1,1,1.0
3,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Vohn B,Jordan M,,,Halber T,Jordan M,Klane J,Snider Q,Green J,Vohn B,Burden C,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,Minnesota Wind Chill,2019,"Burden C, Green J, Halber T, Jordan M, Klane J, Snider Q, Vohn B",1,1,1,1.0
4,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Jordan M,Burden C,,,Halber T,Jordan M,Klane J,Snider Q,Green J,Vohn B,Burden C,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,Minnesota Wind Chill,2019,"Burden C, Green J, Halber T, Jordan M, Klane J, Snider Q, Vohn B",1,1,1,1.0
5,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Burden C,Green J,,,Halber T,Jordan M,Klane J,Snider Q,Green J,Vohn B,Burden C,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,Minnesota Wind Chill,2019,"Burden C, Green J, Halber T, Jordan M, Klane J, Snider Q, Vohn B",1,1,1,1.0
6,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Goal,Green J,Snider Q,,,Halber T,Jordan M,Klane J,Snider Q,Green J,Vohn B,Burden C,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,Minnesota Wind Chill,2019,"Burden C, Green J, Halber T, Jordan M, Klane J, Snider Q, Vohn B",1,1,1,1.0
7,2019-04-20 18:01,Chicago Wildfire,32,D,1,1,Defense,Pull,,,Johnso K,3.648,DeCler D,Taylor J,Johnso K,Matis B,McCart M,Pangb G,Scarth A,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,Minnesota Wind Chill,2019,"DeCler D, Johnso K, Matis B, McCart M, Pangb G, Scarth A, Taylor J",1,1,2,1.0
8,2019-04-20 18:01,Chicago Wildfire,32,D,1,1,Defense,Goal,,,Anonymous,,DeCler D,Taylor J,Johnso K,Matis B,McCart M,Pangb G,Scarth A,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,Minnesota Wind Chill,2019,"DeCler D, Johnso K, Matis B, McCart M, Pangb G, Scarth A, Taylor J",1,1,2,1.0
9,2019-04-20 18:01,Chicago Wildfire,96,O,1,2,Offense,Catch,Klane J,Burden C,,,Jordan M,Bates D,Johnso K,Snider Q,Vohn B,Ladyma M,Burden C,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,Minnesota Wind Chill,2019,"Bates D, Burden C, Johnso K, Jordan M, Ladyma M, Snider Q, Vohn B",1,1,3,1.0
