,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Nicky Golini,Pawel Janas,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Chicago Wildfire,AUDL 2018
1,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Pawel Janas,Simon Johansen,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,Chicago Wildfire,AUDL 2018
2,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Simon Johansen,Pawel Janas,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,Chicago Wildfire,AUDL 2018
3,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Pawel Janas,Simon Johansen,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,Chicago Wildfire,AUDL 2018
4,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Simon Johansen,Pawel Janas,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,Chicago Wildfire,AUDL 2018
5,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Pawel Janas,Dan Miller,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,Chicago Wildfire,AUDL 2018
6,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Dan Miller,Kurt Gibson,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,Chicago Wildfire,AUDL 2018
7,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Kurt Gibson,Michael Pardo,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,Chicago Wildfire,AUDL 2018
8,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Michael Pardo,Kurt Gibson,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,Chicago Wildfire,AUDL 2018
9,2018-04-14 17:11,Pittsburgh Thunderbirds,53,O,1,0,Offense,Catch,Kurt Gibson,Michael Pardo,,,Dan Miller,Simon Johansen,Pawel Janas,Michael Pardo,Nicky Golini,Ross Barker,Kurt Gibson,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,Chicago Wildfire,AUDL 2018
