,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Sam Swink,Federico Chialvo,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
1,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Federico Chialvo,Marcelo Sanchez,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
2,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Marcelo Sanchez,Sam Swink,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
3,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Sam Swink,Clay Miller,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
4,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Clay Miller,Sam Swink,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
5,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Sam Swink,Clay Miller,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
6,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Clay Miller,Federico Chialvo,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
7,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Federico Chialvo,Kevin Cocks,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
8,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Kevin Cocks,Federico Chialvo,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
9,2016-04-02 18:28,San Diego Growlers,223,O,1,0,Offense,Catch,Federico Chialvo,Marcelo Sanchez,,,Greg Cohen,Federico Chialvo,Bob Madden,Clay Miller,Kevin Cocks,Sam Swink,Michael Spear,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,San Francisco FlameThrowers,AUDL 2016
